"계정항목별",2018,2019,2020,2021,2022
"농림어업",32109.2,33373.0,31441.7,33070.8,32736.0
"재배업",20008.1,20666.8,18897.0,19861.9,19548.9
"축산업",6989.2,7563.2,7644.8,8051.1,8226.6
"임업",2428.1,2434.6,2366.0,2346.5,2357.5
"어업",2509.7,2591.3,2571.5,2803.5,2629.7
"광공업",485567.2,490846.2,485538.2,519805.5,527287.6
"광업",2041.6,1915.7,1853.4,1939.9,1834.5
"제조업",483530.2,488934.6,483691.2,517872.8,525452.5
"음식료품 제조업",21678.6,22501.6,23080.3,23554.6,24069.8
"섬유 및 가죽제품 제조업",14503.3,13293.9,12448.1,12547.5,12247.8
"목재, 종이, 인쇄 및 복제업",13890.6,13732.8,13633.6,13678.2,13002.7
"코크스 및 석유정제품 제조업",14667.3,13798.4,12102.4,12081.7,12287.9
"화학물질 및 화학제품 제조업",75565.3,74871.2,74658.7,78301.2,75794.8
"비금속광물제품 제조업",14190.3,13502.9,12933.3,13735.8,13233.9
"1차금속 제조업",26880.4,26643.7,25755.4,27169.4,25705.9
"금속가공제품 제조업",35698.3,35066.9,32852.1,31109.5,30292.4
"컴퓨터, 전자 및 광학기기 제조업",131090.0,139442.4,146665.3,167146.2,177751.4
"전기장비 제조업",29793.8,30270.9,30036.9,32820.8,32706.7
"기계 및 장비 제조업",43705.7,43311.5,43725.4,48773.0,49796.5
"운송장비 제조업",49528.0,50473.2,45383.9,47530.3,52768.2
"기타 제조업 및 산업용 장비 수리업",10969.7,9967.4,9653.8,10287.7,10181.0
"전기, 가스 및 수도사업",43082.6,44927.6,46762.2,48045.1,48938.2
"전기업",26494.9,28695.9,31261.0,31646.1,33805.5
"가스, 증기 및 공기조절 공급업",7785.8,7821.0,7680.2,8142.1,8216.3
"수도, 하수 및 폐기물 처리, 원료 재생업",8857.4,8875.3,8855.5,9198.5,8854.0
"건설업",91740.9,89365.5,88192.7,86475.9,87103.1
"건물건설업",62739.2,58672.0,56896.6,57982.0,60249.7
"주거용 건물건설업",34320.9,30037.3,28977.8,29350.0,30509.2
"비주거용 건물건설업",28409.8,28639.1,27923.8,28638.4,29747.0
"토목건설업",12013.0,12762.9,13074.0,12284.4,12383.7
"전문건설업",16990.6,17927.2,18217.4,16204.3,14459.3
"서비스업",1010422.7,1044553.5,1036168.9,1075565.9,1120754.2
"도소매 및 숙박음식업",172543.2,178609.6,168669.4,171001.2,182997.1
"도소매업",132619.9,137252.2,135437.4,136960.6,142311.5
"숙박 및 음식점업",39925.7,41357.9,33905.9,34680.1,40851.6
"운수업",62521.7,63574.1,52547.3,56043.7,61129.6
"금융 및 보험업",98999.6,102359.9,112144.8,119973.2,123605.1
"부동산업",133422.5,135309.3,138375.2,140325.4,140309.9
"정보통신업",79245.6,82893.8,86521.7,90951.0,94166.2
"통신업",20295.2,22051.3,23551.4,24600.8,25111.1
"출판, 방송, 영상, 정보서비스",58895.6,60881.5,63134.9,66476.6,69046.1
"사업서비스업",153604.6,157571.7,157729.0,162750.8,167563.5
"전문, 과학 및 기술관련 서비스업",98049.9,99977.7,102235.5,107235.7,110790.6
"사업지원 서비스업",55584.3,57646.0,55403.4,55300.2,56511.5
"공공행정, 국방 및 사회보장",104100.5,108116.5,111463.5,115519.0,118963.4
"교육서비스업",86222.9,87582.3,85878.5,90074.4,92872.0
"의료, 보건업 및 사회복지서비스업",78267.5,85931.7,86884.5,91800.1,97622.7
"문화 및 기타 서비스업",41604.3,42682.6,35388.4,36744.3,41065.6
"예술, 스포츠 및 여가관련 서비스업",20533.4,21676.6,15897.1,17367.1,20618.1
"기타 서비스업",21107.5,21075.9,19393.1,19355.1,20542.4
"총부가가치(기초가격)",1663057.0,1702670.7,1687359.0,1760713.9,1814936.8
"순생산물세",149011.6,150146.3,152185.4,158055.5,154621.9
"국내총생산(시장가격, GDP)",1812005.4,1852666.4,1839523.3,1918709.9,1968839.5
"교역조건 변화를 반영한 실질무역손익",3009.2,-39420.2,-25611.8,-46225.4,-115340.2
"국내총소득(GDI)",1815014.6,1813246.2,1813911.5,1872484.6,1853499.3
"국외순수취요소소득",7105.6,15242.3,15648.6,20902.8,26802.1
"국민총소득(GNI)",1822153.4,1828546.7,1829580.0,1893465.7,1880416.0
