시도별,경제활동별,명목,실질,실질기여도
전국,지역내총생산(시장가격),2083794973,1922065762,4.32
전국,순생산물세,184986227,158097793,0.32
전국,총부가가치(기초가격),1898808746,1764039565,4
전국,"농업, 임업 및 어업",38535237,33032148,0.1
전국,광제조업,532787639,520565042,1.75
전국,　광업,2011320,2111985,0.01
전국,　제조업,530776319,518457320,1.75
전국,　　음식료품 및 담배제조업,25990049,23742552,0.03
전국,　　섬유 의복 및 가죽 제품 제조업,13863243,12534472,0.01
전국,　　목재종이인쇄 및 복제업,15535451,13772960,0
전국,　　석탄 및 석유 화학제품 제조업,104077513,90397383,0.19
전국,　　비금속광물 및 금속제품 제조업,92636049,72052908,0.02
전국,　　전기 전자 및 정밀기기 제조업,179637685,200109463,1.07
전국,　　기계 운송장비 및 기타 제품 제조업,99036329,106913314,0.43
전국,"전기, 가스, 증기 및 공기 조절 공급업",22532846,39488858,0.05
전국,건설업,107396653,86414411,-0.1
전국,서비스업,1197556371,1087175472,2.2
전국,　도매 및 소매업,138508269,137974045,0.07
전국,　운수 및 창고업,64161570,54062127,0.18
전국,　숙박 및 음식점업,39649666,34730725,0.04
전국,　정보통신업,99604113,93029681,0.24
전국,　금융 및 보험업,124357407,119755094,0.39
전국,　부동산업,148141617,140297178,0.09
전국,　사업서비스업,193724282,164179875,0.32
전국,"　공공 행정, 국방 및 사회보장 행정",135976428,115574821,0.21
전국,　교육 서비스업,99677113,90890170,0.25
전국,　보건업 및 사회복지 서비스업,99548677,91667941,0.31
전국,　문화 및 기타서비스업,54207229,45413806,0.12
서울특별시,지역내총생산(시장가격),472040199,431678812,3.36
서울특별시,순생산물세,47051092,40172381,0.59
서울특별시,총부가가치(기초가격),424989107,391384648,2.77
서울특별시,"농업, 임업 및 어업",365950,440369,0.01
서울특별시,광제조업,15696002,14933432,0.18
서울특별시,　광업,12820,17182,0
서울특별시,　제조업,15683182,14916563,0.18
서울특별시,　　음식료품 및 담배제조업,480185,432692,0.01
서울특별시,　　섬유 의복 및 가죽 제품 제조업,5402301,4761593,0.07
서울특별시,　　목재종이인쇄 및 복제업,1908907,1745032,-0.03
서울특별시,　　석탄 및 석유 화학제품 제조업,1309859,1126080,-0.02
서울특별시,　　비금속광물 및 금속제품 제조업,895237,755189,0
서울특별시,　　전기 전자 및 정밀기기 제조업,3607658,4027557,0.08
서울특별시,　　기계 운송장비 및 기타 제품 제조업,2079035,2190005,0.08
서울특별시,"전기, 가스, 증기 및 공기 조절 공급업",1548345,2887553,0.01
서울특별시,건설업,13328297,10758261,-0.27
서울특별시,서비스업,394050513,363024617,2.83
서울특별시,　도매 및 소매업,62468292,62276057,0.05
서울특별시,　운수 및 창고업,11208580,9896426,0.27
서울특별시,　숙박 및 음식점업,9755973,8577385,0
서울특별시,　정보통신업,60261592,54583710,0.67
서울특별시,　금융 및 보험업,62755043,60068929,1.01
서울특별시,　부동산업,46172600,44239308,-0.06
서울특별시,　사업서비스업,68408201,59009955,0.2
서울특별시,"　공공 행정, 국방 및 사회보장 행정",17567088,14802383,0.07
서울특별시,　교육 서비스업,20329970,18626104,0.17
서울특별시,　보건업 및 사회복지 서비스업,23092177,21092132,0.33
서울특별시,　문화 및 기타서비스업,12030997,10631863,0.13
부산광역시,지역내총생산(시장가격),97805911,87629325,1.94
부산광역시,순생산물세,7587664,6473259,0.01
부산광역시,총부가가치(기초가격),90218247,81160478,1.93
부산광역시,"농업, 임업 및 어업",440666,483472,0.08
부산광역시,광제조업,15044118,14084007,0.2
부산광역시,　광업,9382,9668,0
부산광역시,　제조업,15034736,14075097,0.19
부산광역시,　　음식료품 및 담배제조업,826691,744923,0.07
부산광역시,　　섬유 의복 및 가죽 제품 제조업,890717,849974,0.01
부산광역시,　　목재종이인쇄 및 복제업,384673,340756,0
부산광역시,　　석탄 및 석유 화학제품 제조업,1658469,1540884,0.09
부산광역시,　　비금속광물 및 금속제품 제조업,4508857,3385039,-0.22
부산광역시,　　전기 전자 및 정밀기기 제조업,2390278,2581201,0.05
부산광역시,　　기계 운송장비 및 기타 제품 제조업,4375051,4614261,0.19
부산광역시,"전기, 가스, 증기 및 공기 조절 공급업",1415203,2195171,-0.02
부산광역시,건설업,5277252,4242229,-0.16
부산광역시,서비스업,68041008,60422431,1.84
부산광역시,　도매 및 소매업,7872515,7839840,0.15
부산광역시,　운수 및 창고업,8984856,6189018,0.43
부산광역시,　숙박 및 음식점업,2434985,2129301,0.04
부산광역시,　정보통신업,1968484,2219379,0.02
부산광역시,　금융 및 보험업,6512902,6158150,0.24
부산광역시,　부동산업,9008520,8536990,-0.06
부산광역시,　사업서비스업,8200973,6865400,-0.1
부산광역시,"　공공 행정, 국방 및 사회보장 행정",6341576,5342805,0.25
부산광역시,　교육 서비스업,6005543,5487035,0.34
부산광역시,　보건업 및 사회복지 서비스업,7810631,7210298,0.49
부산광역시,　문화 및 기타서비스업,2900023,2433550,0.04
대구광역시,지역내총생산(시장가격),60987154,56017462,4.38
대구광역시,순생산물세,4732851,4032532,0.2
대구광역시,총부가가치(기초가격),56254303,51986619,4.18
대구광역시,"농업, 임업 및 어업",139680,107249,0
대구광역시,광제조업,11338457,10866777,1.73
대구광역시,　광업,1208,1248,0
대구광역시,　제조업,11337249,10865507,1.73
대구광역시,　　음식료품 및 담배제조업,465258,420340,0.01
대구광역시,　　섬유 의복 및 가죽 제품 제조업,1072966,978047,0.04
대구광역시,　　목재종이인쇄 및 복제업,652148,578740,0.03
대구광역시,　　석탄 및 석유 화학제품 제조업,991480,973810,-0.02
대구광역시,　　비금속광물 및 금속제품 제조업,3146417,2504909,0.06
대구광역시,　　전기 전자 및 정밀기기 제조업,1937255,2147988,0.67
대구광역시,　　기계 운송장비 및 기타 제품 제조업,3071725,3306380,0.95
대구광역시,"전기, 가스, 증기 및 공기 조절 공급업",324898,512736,-0.04
대구광역시,건설업,4093837,3295073,0.67
대구광역시,서비스업,40357431,37133028,1.82
대구광역시,　도매 및 소매업,4546609,4527016,0.08
대구광역시,　운수 및 창고업,1703263,1630385,0.21
대구광역시,　숙박 및 음식점업,1477570,1277317,-0.04
대구광역시,　정보통신업,1409398,1566421,0.05
대구광역시,　금융 및 보험업,4159426,3961645,0.25
대구광역시,　부동산업,6140765,5808199,-0.16
대구광역시,　사업서비스업,4438754,3808496,0.18
대구광역시,"　공공 행정, 국방 및 사회보장 행정",4787260,4017184,-0.04
대구광역시,　교육 서비스업,4690714,4283792,0.46
대구광역시,　보건업 및 사회복지 서비스업,4934090,4538171,0.79
대구광역시,　문화 및 기타서비스업,2069582,1734111,0.03
인천광역시,지역내총생산(시장가격),98670502,90325899,6.38
인천광역시,순생산물세,9666989,8285820,0.9
인천광역시,총부가가치(기초가격),89003513,82053087,5.48
인천광역시,"농업, 임업 및 어업",291019,279966,0.01
인천광역시,광제조업,23690324,22912156,2.1
인천광역시,　광업,76285,78884,-0.02
인천광역시,　제조업,23614039,22834288,2.12
인천광역시,　　음식료품 및 담배제조업,1202289,1076305,0.13
인천광역시,　　섬유 의복 및 가죽 제품 제조업,240955,218437,-0.03
인천광역시,　　목재종이인쇄 및 복제업,1099991,965946,0.04
